score;app;review;label
5;Maxim;semoga kedepannya talangan g susah dapatnya karna saya jualan pake jasa maxim yg perlu talangan lama banget kalau cari driver yg mau talangan;1
3;Grab;tolong buat pusat grab perbaiki lagi jangan dikit di tangguhkan dan buat para driver jngn gampang melaporkan krna laporan km menghilangkan rezeki driver lainnya;1
1;Gojek;woi gojek kalo mau bikin verifikasi minimal bisa depan belakang lah kamera ini depan doang apa si dulu ga pake verifikasi muka sekarang jadi pake mau bikin protect drivernya masih bisa jual beli account kocak lu gojek;1
1;Maxim;aplikasi ini sangat baiktapi yang bikin jelek itu drive yang cara bicaranya tidak sopan dan tidak pantas untuk di dengaringin rasanya berhenti gunakan apalikasi initapi tidak semua driver yang gituini untuk beberapa driver saja;1
3;Maxim;maxsim bagus tapi sayang nya nga ada fitur telpon buat driver sama buat poto klo di gojek ada tolong buat amit maxsim biar ada telpon donk;0
1;Grab;di semua daerah malang gak ada titik lokasinya jadi bingung mau ngeklik terus driver daerah malang gak profesional aku diturunin di jauh titik lokasi;0
4;Gojek;adanya gojek sangat membantu kami dalam bepergiandengan menggunakan aplikasi gojek sangat memudahkan kami dalam melakukan pemesanansehingga memperlancar dan mempersingkat waktu tunggu kami;1
1;Maxim;suka dapat driver yang ga ramah ngomong nya kasar memang ga semua tapi sering;1
2;Gojek;makin mahal ongkosnya tapi katanya bayar buat abang ojolnya ga naik potongan ongkos dari pihak gojek nya gede pantesan pada lari ke indriver;1
5;Maxim;keren sih cuma sayang drivernya kurang banyak disaat yang lain kyak gojk dan grb ga mau nerima ini mau nerima pokoknya recommend lah;1
5;Maxim;recommended bintang 5 drivernya oke oke jempol 5 top markotop untuk pihak jasa aplikasi sarannya update fitur terkini supaya tidak ketinggalan dengan aplikasi sebelah good job maxim sukses teruss;1
5;Gojek;kenapa yaaa ko sering dapet nya yg jauh jauh terus jmpt nyatolong dong kasian driver nya jmpt ny jauh;1
1;Gojek;2 kali pesen nunggu 2 jam lebih gak dapet driver pas mau di batalin malah di tolak sama gojeknya maksud nyaa apaahh yaaaa keburu tengah malem nungguin nyaaaa;0
1;Grab;seperti hilang tanggung jawab aplikasi tidak menyediakan admin secara langsung untuk menanggapi keluhan pelanggan di pusat bantuan nya semua pesan itu robot yang tidak berguna admin nya tidak ada seolah tidak mau tanggung jawab dengan apa yang terjadi;1
5;Gojek;akun saya tibatiba tidak bisa login ya allah padahal pencarian rezeki saya hanya digojek ini udah berjuang membangun nama gojek ini sampai sukses;0
1;Gojek;mau ganti email doang berapa kali dicoba ga bisa2 gada solusi dan lain lain gojek kontoll;1
5;Gojek;aplikasi sangat membantu dan mudah di gunakan dan ya aku pernah go ride cuma bayar 4k tau;1
1;Maxim;maxin sangat ribet menentukan lokasi tidak seperti gojek atau grab sangat kecewa mohon di evaluasi kembali apk maxim;1
5;Grab;sebagai seorang pengemudi faktor keselamatan adalah yg paling utama diperhatikan selanjutnya adalah kebersihan n kerapian kendaraan maupun driver nya;1
1;Gojek;pelayanan gocar makin buruk pesen gocar banyak drivernya gak respon kadang malah mnjauh dr lokasi tp gk mau cancel tolong aplikasi gojek aware sm driver2 kyk gini sangat mengecewakan;1
5;Maxim;trmksh bnyak driver sangat ramah dan baiktrmksh sdh membantu mngendong ank smp k rmh ank kondisi sakit trmksh sllu nerbuat baik ya omm;1
5;Gojek;apknya bagus cuman ini ada saran dari saya tolong adain fitur ganti ratingbintang saya pernah salah kasih rating karena hp error padahal mau kasih bintang 5 kasian drivernya;1
5;Maxim;anugerah dewantoro trima kasih banyak ya mas sangat membantu banget tahu banget rutenya pelayanan ramah good job mugi gusti tansyah maringi rejeki lancar ksehatan juga keselamatan aamiin;1
5;Grab;saya baru kali coba transport garap saya ndak tau apakah semua driver garap doktrinnya seperti yg saya alami ramah baik nyaman pokoknya markotop lah;1
3;Gojek;halo gojek aplikasi saya tidak bisa dibuka saya sudah menggunakan versi yang terbaru setiap masuk aplikasi selalu keluar tolong bantuannya;0
4;Gojek;saya memberi bintang 4 karena maps di gojek masih suka tidak bergerak saat driver gojek nya sudah sampai ke tujuan;0
1;Gojek;sumpah gojek ama drivernya jahat banget sama gue udah dapet bilang otw kena cancel mulu mana susah banget dapetnya yaallah;1
1;Gojek;gojek kalo abis ujan susah nyari driver 510 giliran dpat jarak drivernya jauh banget padahal yg deket banyak tapi malah ga dapat aneh ini apk;1
4;Gojek;dengan adanya gojeksaya khususnyasangat terbantu kalau lg malas keluar rmhsmg pelayanannya trus ditingkatkandari baik menjadi lbh baik lgmaksh gojek;1
1;Gojek;hari ini dapet driver g d respon nungguin lama g ada d jemput hampir sejam nungguin mulai hari ini uninstall aplikasi habis ini ada notifikasi balasan mohon maaf tapi tidak ada perubahan lihat komentar d bawah di tanggal tanggal sebelumnya sangat buruk;1
1;Maxim;aplikasi gojek apa yg selalu lama dalam jemput customer bilangnya 1 menit tp bisa datang 5 menit kemudian ga jelsss ga usah pakai apk ini;1
5;Grab;ttp sy ksh tp saran klo hujan jgn susah ya krna hujan grabcar itu sangat di butuhkan;1
1;Gojek;verifikasi muka bukannya mempermudah malah mempersulit muka sudah pas malah tak terdeteksi makin gajelas gojek bikin gregetan aja;1
1;Gojek;di maps sering tidak bergerakdriver nya muter2pesan gocar prioritas tapi menunggu bisa 30 menit padahal jalanan lancar;0
